FOOD COMMODITY GROUP,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM
AGRICULTURAL PROCESSED,TOMATO PEELED,1.30
AGRICULTURAL PROCESSED,TOMATO PUREE,1.03
AGRICULTURAL PROCESSED,TOMATO & BASIL,1.14
AGRICULTURAL PROCESSED,TOMATO ARRABBIATA,1.24
AGRICULTURAL PROCESSED,CARROTS CANNED,1.60
AGRICULTURAL PROCESSED,CORN CANNED,1.36
AGRICULTURAL PROCESSED,CARROTS ,0.27
AGRICULTURAL PROCESSED,ZUCCHINI,1.35
AGRICULTURAL PROCESSED,SOY CREAM,1.62
AGRICULTURAL PROCESSED,ALMOND MILK,0.42
AGRICULTURAL PROCESSED,COCONUT MILK,0.41
AGRICULTURAL PROCESSED,RICE MILK,0.66
AGRICULTURAL PROCESSED,SOY MILK,0.78
AGRICULTURAL PROCESSED,QUORNE,2.50
AGRICULTURAL PROCESSED,SOY BURGER,1.48
AGRICULTURAL PROCESSED,TOFU,2.27
AGRICULTURAL PROCESSED,SOY YOGURT,1.36
AGRICULTURAL PROCESSED,WINE RED,0.87
AGRICULTURAL PROCESSED,WINE WHITE,0.44
AGRICULTURAL PROCESSED,YEAST COMPRESSED,0.82
AGRICULTURAL PROCESSED,YEAST DRIED,3.29
AGRICULTURAL PROCESSED,YEAST LIQUID,0.50
ANIMAL HUSBANDRY,BEEF BONE FREE MEAT,25.75
ANIMAL HUSBANDRY,BEEF MEAT WITH BONE,17.96
ANIMAL HUSBANDRY,BUFFALO BONE FREE MEAT,78.80
ANIMAL HUSBANDRY,BUTTER,8.48
ANIMAL HUSBANDRY,CREAM,5.45
ANIMAL HUSBANDRY,MASCARPONE,5.70
ANIMAL HUSBANDRY,MOZZARELLA,8.20
ANIMAL HUSBANDRY,RICOTTA,3.40
ANIMAL HUSBANDRY,STRACCHINO,4.92
ANIMAL HUSBANDRY,ASIAGO,10.24
ANIMAL HUSBANDRY,CAMEMBERT,7.55
ANIMAL HUSBANDRY,CEDDAR,11.21
ANIMAL HUSBANDRY,CHEESE,8.93
ANIMAL HUSBANDRY,CHEESE SEMI-HARD,8.65
ANIMAL HUSBANDRY,EMMENTAL,8.20
ANIMAL HUSBANDRY,GOAT CHEESE,8.35
ANIMAL HUSBANDRY,GRANA PADANO,15.34
ANIMAL HUSBANDRY,PARMIGIANO REGGIANO,12.54
ANIMAL HUSBANDRY,PECORINO,17.15
ANIMAL HUSBANDRY,MEALWORMS,2.84
ANIMAL HUSBANDRY,EGGS,3.20
ANIMAL HUSBANDRY,HONEY,1.74
ANIMAL HUSBANDRY,KANGAROO MEAT,4.10
ANIMAL HUSBANDRY,LAMB BONE FREE MEAT,25.23
ANIMAL HUSBANDRY,LAMB MEAT WITH BONE,16.70
ANIMAL HUSBANDRY,BUFFALO MILK,3.57
ANIMAL HUSBANDRY,COW MILK,1.31
ANIMAL HUSBANDRY,GOAT MILK,1.44
ANIMAL HUSBANDRY,PORK BONE FREE MEAT,5.72
ANIMAL HUSBANDRY,BACON,4.03
ANIMAL HUSBANDRY,NECK,4.03
ANIMAL HUSBANDRY,PORK HAM,7.95
ANIMAL HUSBANDRY,PORK SAUSAGES,17.94
ANIMAL HUSBANDRY,PORK MEAT WITH BONE,3.44
ANIMAL HUSBANDRY,CHICKEN BONE FREE MEAT,3.68
ANIMAL HUSBANDRY,EMU BONE FREE MEAT,1.50
ANIMAL HUSBANDRY,DUCK MEAT BONE FREE,4.10
ANIMAL HUSBANDRY,TURKEY MEAT BONE FREE,4.08
ANIMAL HUSBANDRY,CHICKEN MEAT WITH BONE,2.82
ANIMAL HUSBANDRY,DUCK MEAT WITH BONE,2.07
ANIMAL HUSBANDRY,TURKEY MEAT WITH BONE,2.13
ANIMAL HUSBANDRY,RABBIT MEAT WITH BONE,4.31
ANIMAL HUSBANDRY,SNAILS,0.73
ANIMAL HUSBANDRY,YOGURT FLAVOURED,2.85
ANIMAL HUSBANDRY,YOGURT LACTOSE FREE,3.47
ANIMAL HUSBANDRY,YOGURT WHITE,1.69
CROPS,COFFEE GREEN,0.49
CROPS,DATE,0.60
CROPS,RAISIN,0.81
CROPS,EXOTIC FRUIT ,2.43
CROPS,RASPBERRY ,7.35
CROPS,STRAWBERRY,2.88
CROPS,AVOCADO ,1.09
CROPS,BANANA ,0.82
CROPS,COCONUT ,1.78
CROPS,EXOTIC FRUIT ,2.43
CROPS,PINEAPPLE ,0.55
CROPS,POMEGRANATE ,1.17
CROPS,STRAWBERRY ,0.84
CROPS,MELON,1.43
CROPS,CLEMENTINE,0.41
CROPS,LEMON,0.22
CROPS,LIME,0.22
CROPS,MANDARIN,0.45
CROPS,ORANGE,0.30
CROPS,POMELO,0.51
CROPS,TANGERIN,0.38
CROPS,APPLE,0.25
CROPS,APRICOT,0.30
CROPS,AVOCADO,0.54
CROPS,BANANA,0.34
CROPS,CARROB,1.10
CROPS,CHERRY,0.46
CROPS,FIG,0.26
CROPS,GRAPES,0.31
CROPS,GUAVA,0.28
CROPS,KIWI,0.49
CROPS,MANGO,0.31
CROPS,MELON,0.61
CROPS,PEACH,0.39
CROPS,PEAR,0.27
CROPS,PINEAPPLE,0.28
CROPS,PLUM,0.26
CROPS,POMEGRANATE,0.32
CROPS,ROCKMELON,0.39
CROPS,WATERMELON,0.52
CROPS,OLIVES,0.64
CROPS,BLACKBERRY,0.42
CROPS,BLUEBERRY,0.78
CROPS,CRANBERRY,0.87
CROPS,CURRANT,0.64
CROPS,GOOSEBERRY,0.84
CROPS,RASPBERRY,0.63
CROPS,STRAWBERRY,0.61
CROPS,BARLEY,0.48
CROPS,MAIZE,0.48
CROPS,MILLET,0.86
CROPS,OAT,0.67
CROPS,QUINOA,0.97
CROPS,RYE,0.38
CROPS,SORGHUM,0.88
CROPS,WHEAT,0.57
CROPS,BEAN,0.43
CROPS,CHICKPEA,0.77
CROPS,COWPEA,0.49
CROPS,GREEN BEAN ,0.52
CROPS,LENTIL,1.03
CROPS,PEA,0.45
CROPS,SOYBEAN,0.56
CROPS,GREEN BEAN,0.28
CROPS,MUSHROOM,2.06
CROPS,ALMOND,1.88
CROPS,CASHEW NUT,1.38
CROPS,CHESTNUT,0.44
CROPS,HAZELNUT,1.11
CROPS,MIXED NUTS,0.47
CROPS,PALM NUT,0.80
CROPS,PEANUT,0.83
CROPS,PISTACHIO,1.60
CROPS,WALNUT,2.06
CROPS,RICE,2.19
CROPS,RAPE SEED,0.78
CROPS,SESAM SEED,0.88
CROPS,SUNFLOWER SEED,1.16
CROPS,CHILLY,0.80
CROPS,GINGER,0.88
CROPS,POTATO,0.24
CROPS,STARCHY ROOTS,0.29
CROPS,SWEET POTATO,0.27
CROPS,CUCUMBER ,2.55
CROPS,GERKIN ,2.12
CROPS,LETTUCE ,2.67
CROPS,PEPPER ,3.73
CROPS,TOMATO ,2.43
CROPS,CUCUMBER ,0.32
CROPS,EGGPLANT ,2.90
CROPS,PEPPER ,1.18
CROPS,TOMATO ,0.91
CROPS,ZUCCHINI ,1.77
CROPS,ASPARAGUS,0.83
CROPS,CABAGGE,0.23
CROPS,LETTUCE,0.41
CROPS,SPINACH,0.34
CROPS,BEETROOT,0.25
CROPS,CARROT,0.24
CROPS,GARLIC,0.71
CROPS,ONION,0.22
CROPS,RADISH,0.15
CROPS,SWEDE,0.29
CROPS,TURNIP,0.35
CROPS,ARTICHOKE,0.33
CROPS,BROCCOLI,0.57
CROPS,CAULIFLOWER,0.31
CROPS,CELERY,0.32
CROPS,CUCUMBER,0.27
CROPS,EGGPLANT,0.19
CROPS,FENNEL,0.48
CROPS,GERKIN,0.21
CROPS,PEPPER,0.65
CROPS,PUMPKIN,0.24
CROPS,TOMATO,0.45
CROPS,VEGETABLES,0.54
CROPS,ZUCCHINI,0.70
FISHING,ALFONSINO,3.49
FISHING,ANCHOVY,0.82
FISHING,ANGLERFISH,12.29
FISHING,CARP,1.76
FISHING,CATFISH,8.93
FISHING,COD,3.08
FISHING,DIAMOND FISH,6.02
FISHING,EEL,3.88
FISHING,FISH MIXED,4.99
FISHING,FLATFISH,6.41
FISHING,FLATHEAD,2.56
FISHING,FORK BEARD,8.01
FISHING,HADDOCK,3.10
FISHING,HAKE,10.40
FISHING,HERRING,1.24
FISHING,LING,6.45
FISHING,MACKEREL,1.80
FISHING,MEGRIM,14.15
FISHING,PILCHARD,1.10
FISHING,PLAICE,6.13
FISHING,POLLOCK,1.40
FISHING,POMFRET,6.63
FISHING,PORBEAGLE,11.44
FISHING,RHOMBUS,8.41
FISHING,ROCK FISH,6.94
FISHING,SALMON,3.37
FISHING,SARDINE,0.90
FISHING,SEA-BASS,3.60
FISHING,SHARK,11.44
FISHING,SOLE,5.40
FISHING,SWARDFISH,12.84
FISHING,TROUT,4.20
FISHING,TUNA,3.68
FISHING,TURBOT,14.51
FISHING,WHITING,2.66
FISHING,COD,3.03
FISHING,FISH STICK ,2.26
FISHING,HADDOCK ,3.72
FISHING,HERRING ,1.30
FISHING,MACKEREL ,0.99
FISHING,MIXED FISH ,1.04
FISHING,POLLOCK ,0.90
FISHING,POLLOCK STICK ,2.14
FISHING,SALMON ,1.61
FISHING,SOLE ,14.28
FISHING,TROUT ,4.38
FISHING,TUNA,2.64
FISHING,COD FISH STICK,2.14
FISHING,HAKE FISH STICK,2.14
FISHING,MAKEREL FISH STICK,1.02
FISHING,TUNA IN CAN,2.10
FISHING,BARNACLE,2.30
FISHING,KRILL,5.54
FISHING,LOBSTER,20.25
FISHING,MUSSELS,0.46
FISHING,CUTTLEFISH,5.05
FISHING,OCTOPUS,5.80
FISHING,SQUID,6.91
FISHING,PRAWNS/SHRIMPS,7.04
FISHING,OCTOPUS,7.88
FISHING,PRAWNS/SHRIMPS,15.07
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
